Input Size	Execution Time
100000	18.4580001831
100000	18.4470005035
100000	18.4820003510
100000	18.3040008545
100000	18.4559993744
100000	18.3020000458
100000	18.3840007782
100000	18.3120002747
100000	18.4629993439
100000	18.3369998932
100000	18.5440006256
100000	18.5790004730
100000	18.3090000153
100000	18.4379997253
100000	18.3980007172
100000	18.5189990997
100000	18.4029998779
100000	18.3859996796
100000	18.3269996643
100000	18.4489994049
100000	18.3560009003
100000	18.4519996643
100000	18.4930000305
100000	18.3899993896
100000	18.3729991913
100000	18.3069992065
100000	18.4669990540
100000	18.4440002441
100000	18.3810005188
100000	18.4330005646
100000	18.4969997406
100000	18.3729991913
100000	18.4710006714
100000	18.4640007019
100000	18.5839996338
100000	18.5030002594
100000	18.3850002289
100000	18.5000000000
100000	18.3229999542
100000	18.3180007935
100000	18.2970008850
100000	18.5149993896
100000	18.3540000916
